dataset,metric,n_p,n_i,ms_p,ms_i,ms_pi,sigma2_p,sigma2_i,sigma2_pi,var_pct_p,var_pct_i,var_pct_pi,cronbach_alpha
prism,fidelity_cos,400,12,2.4453376226236418e-05,1.8788233766795633e-07,2.0957558188604703e-07,2.020316720362531e-06,0.0,2.0957558188604703e-07,90.60153794536555,0.0,9.398462054634443,0.9914295850214256
biosbias,fidelity_cos,400,12,0.00016078212885740255,1.7139718839843027e-07,1.8581706499336826e-07,1.3383025982700765e-05,0.0,1.8581706499336826e-07,98.63056073137388,0.0,1.369439268626117,0.998844292793522
mmlu,fidelity_cos,400,12,7.395767513903455e-06,3.2154162997396956e-07,1.9457340265230045e-07,6.000995092709295e-07,3.1742056830417276e-10,1.9457340265230045e-07,75.48513293113787,0.039927601045079746,24.474939467817045,0.9736912494495643
